ped_id,time_s,x,y,gt_x_1s,gt_y_1s,pred_x_1s,pred_y_1s
141,828.0,-1.302,2.733,-0.359,1.926,-0.932,1.573
141,828.25,-1.205,2.519,-0.311,1.858,-0.869,1.55
141,828.5,-0.903,2.393,-0.146,1.81,-0.089,1.388
141,828.75,-0.661,2.121,0.34,1.683,0.346,1.214
141,829.0,-0.359,1.926,0.505,1.635,0.778,1.024
141,829.25,-0.311,1.858,0.437,1.654,0.418,1.023
141,829.5,-0.146,1.81,1.127,1.353,0.423,1.125
142,835.75,0.835,1.596,-0.389,1.188,-0.311,1.578
142,836.5,-0.117,1.295,-1.185,1.285,-1.197,1.629
142,836.75,-0.389,1.188,-1.311,1.305,-1.467,1.074
145,846.0,-1.059,1.431,0.126,3.043,-0.028,1.742
150,875.25,0.962,2.315,0.437,1.917,0.196,1.823
150,875.5,1.117,2.286,0.35,1.79,1.397,2.306
150,875.75,0.573,2.198,0.33,1.732,-0.546,2.268
150,876.25,0.437,1.917,0.165,1.373,-0.385,1.688
150,876.5,0.35,1.79,0.049,1.169,-0.255,1.422
150,877.0,0.291,1.654,-0.223,1.188,-0.042,1.282
150,877.5,0.049,1.169,-0.505,1.11,-0.21,1.009
150,878.5,-0.505,1.11,-1.175,1.217,-0.768,0.825
150,878.75,-0.563,1.12,-1.185,1.314,-0.936,0.752
150,879.25,-0.991,1.256,-1.311,1.295,-1.6,1.024
