t_ms,id,x,y,vx,vy,v,x_plus_1,y_plus_1
161000,32,-0.427429,2.985143,0.116571,0.077714,0.140101,0.233143,2.577143
161250,32,-0.417714,2.985143,0.038857,0.000000,0.038857,0.592571,2.460571
161500,32,-0.369143,2.956000,0.194286,-0.116571,0.226574,0.854857,2.266286
161750,32,0.136000,2.771429,2.020571,-0.738286,2.151226,0.884000,2.285714
162000,32,0.233143,2.577143,0.388571,-0.777143,0.868872,1.476571,1.994286
162250,32,0.592571,2.460571,1.437714,-0.466286,1.511438,NaN,NaN
162500,32,0.854857,2.266286,1.049143,-0.777143,1.305623,NaN,NaN
162750,32,0.884000,2.285714,0.116571,0.077714,0.140101,NaN,NaN
163000,32,1.476571,1.994286,2.370286,-1.165714,2.641428,NaN,NaN
169750,33,1.233714,1.256000,-0.699429,0.349714,0.781985,0.553714,1.702857
170000,33,1.379429,1.168571,0.582857,-0.349714,0.679722,0.427429,1.596000
170250,33,1.117143,1.955429,-1.049143,3.147429,3.317681,0.233143,1.566857
170500,33,0.835429,1.955429,-1.126857,0.000000,1.126857,0.213714,1.353143
170750,33,0.553714,1.702857,-1.126857,-1.010286,1.513435,0.165143,1.139429
171000,33,0.427429,1.596000,-0.505143,-0.427429,0.661713,0.184571,1.158857
171250,33,0.233143,1.566857,-0.777143,-0.116571,0.785837,NaN,NaN
171500,33,0.213714,1.353143,-0.077714,-0.854857,0.858382,NaN,NaN
171750,33,0.165143,1.139429,-0.194286,-0.854857,0.876657,NaN,NaN
172000,33,0.184571,1.158857,0.077714,0.077714,0.109905,NaN,NaN
182750,34,-0.136000,1.547429,-0.446857,0.796571,0.913350,-0.718857,2.334286
183000,34,-0.320571,1.868000,-0.738286,1.282286,1.479636,NaN,NaN
183250,34,-0.485714,2.198286,-0.660571,1.321143,1.477083,NaN,NaN
183500,34,-0.874286,2.295429,-1.554286,0.388571,1.602121,NaN,NaN
183750,34,-0.718857,2.334286,0.621714,0.155429,0.640848,NaN,NaN
190250,35,-1.418286,3.402857,0.038857,-0.116571,0.122877,-0.602286,2.363429
190500,35,-1.272571,2.956000,0.582857,-1.787429,1.880059,-0.330286,2.208000
191000,35,-0.670286,2.635429,1.204571,-0.641143,1.364572,-0.408000,1.984571
191250,35,-0.602286,2.363429,0.272000,-1.088000,1.121485,-0.553714,1.780571
191500,35,-0.330286,2.208000,1.088000,-0.621714,1.253105,-0.961714,1.489143
191750,35,-0.408000,2.052571,-0.310857,-0.621714,0.695098,-0.981143,1.353143
192000,35,-0.408000,1.984571,0.000000,-0.272000,0.272000,-1.165714,1.265714
192250,35,-0.553714,1.780571,-0.582857,-0.816000,1.002785,-1.156000,1.236571
192500,35,-0.961714,1.489143,-1.632000,-1.165714,2.005571,-1.097714,1.285143
192750,35,-0.981143,1.353143,-0.077714,-0.544000,0.549523,NaN,NaN
193000,35,-1.165714,1.265714,-0.738286,-0.349714,0.816925,NaN,NaN
193250,35,-1.156000,1.236571,0.038857,-0.116571,0.122877,NaN,NaN
193500,35,-1.097714,1.285143,0.233143,0.194286,0.303484,NaN,NaN
200250,36,-1.301714,1.188000,0.699429,-0.155429,0.716490,-0.359429,1.421143
200500,36,-1.049143,1.217143,1.010286,0.116571,1.016989,-0.398286,1.411429
200750,36,-0.903429,1.217143,0.582857,0.000000,0.582857,0.310857,1.916571
201000,36,-0.563429,1.333714,1.360000,0.466286,1.437714,0.689714,1.945714
201250,36,-0.359429,1.421143,0.816000,0.349714,0.887782,0.767429,1.974857
201500,36,-0.398286,1.411429,-0.155429,-0.038857,0.160212,0.816000,1.994286
201750,36,0.310857,1.916571,2.836571,2.020571,3.482649,NaN,NaN
202000,36,0.689714,1.945714,1.515429,0.116571,1.519905,NaN,NaN
202250,36,0.767429,1.974857,0.310857,0.116571,0.331996,NaN,NaN
202500,36,0.816000,1.994286,0.194286,0.077714,0.209252,NaN,NaN
209500,37,0.854857,2.295429,-1.554286,0.427429,1.611986,-0.174857,2.353714
209750,37,0.621714,2.237143,-0.932571,-0.233143,0.961273,-0.476000,2.460571
210000,37,0.514857,2.246857,-0.427429,0.038857,0.429191,-0.816000,2.703429
210250,37,0.019429,2.373143,-1.981714,0.505143,2.045082,-0.310857,2.441143
210500,37,-0.174857,2.353714,-0.777143,-0.077714,0.781019,NaN,NaN
210750,37,-0.476000,2.460571,-1.204571,0.427429,1.278158,NaN,NaN
211000,37,-0.816000,2.703429,-1.360000,0.971429,1.671309,NaN,NaN
211250,37,-0.310857,2.441143,2.020571,-1.049143,2.276710,NaN,NaN
223500,38,-1.117143,1.256000,0.893714,-0.116571,0.901285,-0.019429,1.430857
223750,38,-0.942286,1.285143,0.699429,0.116571,0.709076,0.029143,1.576571
224000,38,-1.020000,1.246286,-0.310857,-0.155429,0.347549,0.029143,2.217714
224250,38,-0.262286,1.430857,3.030857,0.738286,3.119481,0.262286,2.334286
224500,38,-0.019429,1.430857,0.971429,0.000000,0.971429,0.272000,2.781143
224750,38,0.029143,1.576571,0.194286,0.582857,0.614385,0.524571,3.121143
225000,38,0.029143,2.217714,0.000000,2.564571,2.564571,NaN,NaN
